corp_code,count
00190321,4
00164645,1
00133812,2
01335578,1
00136341,1
00654175,1
00123143,1
00657987,1
00599106,1
01074862,1
00210740,1
01038693,1
00390365,1
00108913,1
00158963,1
01186404,1
00305668,1
00242712,1
01428203,1
00115676,2
00811372,1
00406727,1
01489648,1
00229021,1
00217947,1
00674498,1
01067516,1
00535746,1
00112679,2
01412822,2
01391103,1
01053540,1
00527464,1
00833064,1
01032413,1
00327396,1
00126380,2
00579980,1
01110678,1
00138190,1
00129387,1
00126362,1
00555874,1
00408956,1
00401731,1
00242934,1
00126478,1
01109539,1
00118521,1
00632845,1
00508274,1
00536888,1
00366845,1
00118345,1
01046708,1
01201970,1
00162461,1
00426086,1
00195229,1
01316236,1
01316227,1
00106623,1
00126566,1
00162586,1
00161383,1
01497869,1
00296290,1
00795135,1
01009789,1
00120030,1
00105855,1
00503668,1
01310269,1
00138701,1
00670340,1
00104856,1
01262032,1
00157681,1
00231372,1
00121941,1
00557508,1
01267170,1
00139889,1
00398792,1
00164636,1
00165680,1
00412597,1
00164609,1
00105280,1
00140955,1
00188089,1
00299002,1
01205709,1
00164742,1
00164788,1
00161046,1
00164478,1
00728638,1
00684714,1
00432102,1
00164830,1
00164779,1
00563545,1
00139214,1
00126371,1
00153861,1
00109693,1
00266961,2
00159023,1
00631518,1
00159102,1
01261893,1
00635134,1
00117188,1
01128613,1
00992871,1
00428251,1
00155319,1
00148276,1
00244455,1
00105271,1
00872984,1
00203315,1
00145109,1
00261443,1
00565154,1
01042775,1
00105952,1
00231363,1
00858364,1
00159786,1
00623661,1
00776820,1
00759513,1
00298447,1
00274933,1
00234412,1
00136378,1
00359580,1
00130772,1
00878915,1
00116949,1
01262458,1
00160843,1
00159740,1
00233653,1
00445054,1
00904672,1
00256955,1
00357740,1
00490151,1
00807379,1
01029394,1
00181712,1
00855093,1
00108038,1
00105101,1
00265324,1
00349732,1
00163196,1
00117744,1
00309831,1
00309503,1
00138279,1
00264635,1
00994994,1
00124504,1
01353024,1
01350869,1
00867849,1
01243161,1
00198378,1
00119140,1
00129679,1
01047840,1
00176835,1
00610490,1
00797364,1
01408999,1
